name	exp_beta	exp_se	out_beta	out_se	exp_z	out_z	exp_pvalue	out_pvalue	exp_pvalue_FDR	out_pvalue_FDR	database	ngenes_tscore	ngenes_path	genes_path	tissue	exposure	outcome	class_path
caveola	0.137966818620078	0.0420903732183433	0.000121274166551588	3.02744846439628e-05	3.27787111566762	4.00582100662685	0.00104593140106946	6.18157428939729e-05	0.0315024795634107	0.00542950433962738	GO	23	60	LRP8,SCN5A,ATP1B3,P2RY12,F2R,EFNA5,FLOT1,SMPD2,ADCYAP1R1,CAV2,CAV1,JAK2,BMPR1A,MYOF,KCNA5,LRP6,AKAP6,MAPK3,CDH13,FLOT2,PTRF,PACSIN2,MLC1	DLPC_CMC	Dx	Time to complete round (400)	9_DLPC_CMC_Dx_400
RNA processing	-0.200599577199721	0.0496550165718895	-7.88742917613072e-05	3.42631327183907e-05	-4.03986527543087	-2.30201635120689	5.34819139023477e-05	0.0213348593454809	0.00433756763787317	0.17987219469614	GO	31	93	EXOSC10,RTCA,DDX20,ADAR,PNPT1,MPHOSPH10,DUSP11,MRPL44,TRNT1,RBM6,U2SURP,LARP7,AGGF1,RNGTT,RBPMS,RCL1,HNRNPK,SETX,TMTC1,RBMS2,SART3,NUFIP1,WDHD1,LARP6,ADAT1,UTP6,XAB2,PRPF6,ADARB1,TFIP11,DDX17	DLPC_CMC	Dx	Time to complete round (400)	10_DLPC_CMC_Dx_400
nervous system development	0.24515636793632	0.0741614167123717	5.55563256854336e-05	5.56481185773924e-05	3.30571311612259	0.998350476272956	0.000947350296661445	0.318110159080376	0.0299072306304872	0.666938192207396	GO	86	330	PDPN,NBL1,TTLL7,MTR,APOB,DPYSL5,FEZ2,RBM45,HES6,NR2C2,CNTN3,ROBO1,SEMA5B,FGF12,FGF5,FGF2,GLRB,SCRG1,SDHA,SEMA5A,GPR98,EFNA5,SEMA6A,PCDHA2,PCDHA4,PCDHA6,PCDHA7,PCDHA8,PCDHA10,PCDHA11,PCDHAC1,PCDHB2,PCDHB3,PCDHB4,PCDHB6,PCDHB11,PCDHB15,NRSN1,FUT9,ACHE,SH2B2,CLN8,CSGALNACT1,FUT10,LY6H,FKTN,ITGA8,RET,DRGX,ATOH7,KIAA1279,BMPR1A,INA,GFRA1,VAX1,DPYSL4,TRIM3,TPP1,TMEM41B,SMARCD1,APAF1,IFT88,NUMB,ATXN3,NDN,APBA2,SEMA4B,DOC2A,SPG7,P2RX5,CYB5D2,NEUROD2,ERBB2,RAPGEFL1,SMARCE1,JUP,NAGLU,RGS9,CABLES1,PAFAH1B3,SDCBP2,GSS,OLIG2,DGCR14,SMARCB1,EP300	DLPC_CMC	Dx	Time to complete round (400)	11_DLPC_CMC_Dx_400
enzyme activator activity	-0.0920578092746532	0.0295416145752558	-4.06891432222132e-05	2.16908227790908e-05	-3.11620778343514	-1.87586905469699	0.00183193141957834	0.0606741302769125	0.0476099745729088	0.30588450887221	GO	11	47	CASP9,ASAP2,PRKCD,MGST2,GM2A,DBNL,PITRM1,ARL1,ALOX5AP,MMP15,CTSA	DLPC_CMC	Dx	Time to complete round (400)	12_DLPC_CMC_Dx_400
adult locomotory behavior	-0.0910484278551045	0.0267355344044226	-4.01755523275426e-05	1.87626362791371e-05	-3.40552114941242	-2.14125305899658	0.000660378982140067	0.0322543544555331	0.0245764702634016	0.222509891551295	GO	9	51	GIGYF2,CHL1,FGF12,SNCA,CLN8,PBX3,SNCG,EPS8,TSHR	DLPC_CMC	Dx	Time to complete round (400)	13_DLPC_CMC_Dx_400
embryo development	0.208547136654014	0.0450879714505709	8.58509537349263e-05	3.0383610484392e-05	4.62533864231706	2.82556787578052	3.73986859486114e-06	0.0047199673653191	0.000703693674809071	0.0761673165030906	GO	26	134	PDPN,HMGCL,TGFB2,POLR1B,WNT5A,FGF2,LRAT,CCNO,HMGCR,NDST1,FOXQ1,BAG6,NOTCH4,FOXK1,FOXP2,FUT10,SFRP1,EHMT1,CELF1,RACGAP1,PSEN1,TGFB3,DNAJA3,USP22,CSRP2BP,THBD	DLPC_CMC	Dx	Time to complete round (400)	14_DLPC_CMC_Dx_400
endocytic vesicle membrane	0.131060436478806	0.0324223428240909	6.6066358033782e-05	2.43829341952911e-05	4.04228766532639	2.70953272090366	5.29322384338399e-05	0.00673814791490283	0.00433756763787317	0.0906620555961585	GO	14	55	NOSTRIN,HLA-DRA,HLA-DRB1,HLA-DQA1,HLA-DPA1,HLA-DPB1,CD36,CAV1,AP2A2,GRIA4,VAMP1,AP2B1,UBA52,PICK1	DLPC_CMC	Dx	Time to complete round (400)	15_DLPC_CMC_Dx_400
post-translational protein modification	0.302754461640366	0.0756785666342008	6.94781478111109e-05	5.56231067737747e-05	4.00053112929262	1.24908786727225	6.3200472272873e-05	0.211633809088981	0.00480607058830108	0.551904498593533	GO	73	184	PIGV,ALG6,PIGK,PIGC,EDEM3,PIGF,MCFD2,MOGS,GGCX,MGAT4A,GALNT13,GALNT3,GMPPA,RHBDD1,B3GNT7,SUMF1,GALNT15,GMPPB,RFT1,PROS1,B4GALT4,RPN1,ST6GAL1,MUC20,PIGX,PIGG,ARSB,MAN2A1,SAR1B,ARSI,GALNT10,CANX,GFPT2,MANEA,C1GALT1,SUMF2,MUC12,ST3GAL1,GCNT1,GALNT12,DPM2,ST8SIA6,ALG8,DPAGT1,ST3GAL4,ALG10,GALNT6,ALG5,UGGT2,F7,DAD1,FUT8,PIGH,PDIA3,PIGB,MPI,MAN2A2,PIGQ,PMM2,EIF5A,PIGS,PIGW,ST6GALNAC2,B4GALT6,GALNT1,ST8SIA3,LMAN1,PIGN,EDEM2,PIGT,B4GALT5,PIGP,ALG12	DLPC_CMC	Dx	Time to complete round (400)	16_DLPC_CMC_Dx_400
cell body	-0.137113351751544	0.0345865484257224	-5.20704232323656e-05	2.58051790701915e-05	-3.96435487183717	-2.01782840145116	7.35947034204558e-05	0.0436099302235791	0.0052025620574195	0.257398354013471	GO	15	53	KCNN3,APOA1BP,CACYBP,RBP1,PTPN13,IL6ST,TCP1,PACRG,RDH10,SLC18A2,FADD,RLBP1,TRPV2,SYNDIG1,CCT8	DLPC_CMC	Dx	Time to complete round (400)	17_DLPC_CMC_Dx_400
regulation of protein kinase activity	-0.155353207670148	0.0266894205481738	-4.12855628675396e-05	1.65665876599258e-05	-5.82077858864487	-2.49209817465358	5.85741217896928e-09	0.012699571781097	5.51065337797429e-06	0.133512527875292	GO	9	19	MTOR,TTN,ECT2,CSNK2B,PLCE1,TRPT1,CAMKK2,AKAP13,SMG8	DLPC_CMC	Dx	Time to complete round (400)	18_DLPC_CMC_Dx_400
