pheno_id	FieldID	Field	Path	Strata	Sexed	Coding	Coding_meaning	original_type	transformed_type	nsamples	nsamples_T	nsamples_F
3446_2	3446	Type of tobacco currently smoked	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking	Primary	Unisex	100351	Hand-rolled cigarettes	CAT_SINGLE	CAT_SINGLE_UNORDERED	26093	6090	20003
3446_3	3446	Type of tobacco currently smoked	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking	Primary	Unisex	100351	Cigars or pipes	CAT_SINGLE	CAT_SINGLE_UNORDERED	26093	1901	24192
3456	3456	Number of cigarettes currently smoked daily (current cigarette smokers)	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking	Primary	Unisex	100355	NA	INTEGER	CAT_ORD	23985	NA	NA
3466	3466	Time from waking to first cigarette	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking	Primary	Unisex	100356	NA	CAT_SINGLE	CAT_ORD	24060	NA	NA
3476	3476	Difficulty not smoking for 1 day	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking	Primary	Unisex	100357	NA	CAT_SINGLE	CAT_ORD	24125	NA	NA
3486	3486	Ever tried to stop smoking	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking	Primary	Unisex	100358	NA	CAT_SINGLE	CAT_ORD	25975	NA	NA
3496	3496	Wants to stop smoking	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking	Primary	Unisex	100359	NA	CAT_SINGLE	CAT_ORD	25723	NA	NA
4250	4250	Number of digits to be memorised/recalled	UK Biobank Assessment Centre > Cognitive function > Numeric memory	Auxiliary	Unisex	NA	NA	INTEGER	CONTINUOUS	36129	NA	NA
4253	4253	Time number displayed for	UK Biobank Assessment Centre > Cognitive function > Numeric memory	Auxiliary	Unisex	NA	NA	INTEGER	CONTINUOUS	36129	NA	NA
4260	4260	Round of numeric memory test	UK Biobank Assessment Centre > Cognitive function > Numeric memory	Primary	Unisex	NA	NA	INTEGER	CAT_ORD	36129	NA	NA
4282	4282	Maximum digits remembered correctly	UK Biobank Assessment Centre > Cognitive function > Numeric memory	Primary	Unisex	100696	NA	INTEGER	CAT_ORD	35478	NA	NA
4283	4283	Number of rounds of numeric memory test performed	UK Biobank Assessment Centre > Cognitive function > Numeric memory	Primary	Unisex	NA	NA	INTEGER	CAT_ORD	36193	NA	NA
4285	4285	Time to complete test	UK Biobank Assessment Centre > Cognitive function > Numeric memory	Auxiliary	Unisex	NA	NA	INTEGER	CONTINUOUS	36193	NA	NA
4288	4288	Time to answer	UK Biobank Assessment Centre > Cognitive function > Prospective memory	Primary	Unisex	NA	NA	INTEGER	CONTINUOUS	112582	NA	NA
4290	4290	Duration screen displayed	UK Biobank Assessment Centre > Cognitive function > Prospective memory	Primary	Unisex	NA	NA	INTEGER	CONTINUOUS	112582	NA	NA
4291	4291	Number of attempts	UK Biobank Assessment Centre > Cognitive function > Prospective memory	Primary	Unisex	NA	NA	INTEGER	CONTINUOUS	112582	NA	NA
4294_1	4294	Final attempt correct	UK Biobank Assessment Centre > Cognitive function > Prospective memory	Primary	Unisex	29	yes	CAT_SINGLE	CAT_SINGLE_UNORDERED	112582	108266	4316
4294_0	4294	Final attempt correct	UK Biobank Assessment Centre > Cognitive function > Prospective memory	Primary	Unisex	29	no	CAT_SINGLE	CAT_SINGLE_UNORDERED	112582	4191	108391
4294_9	4294	Final attempt correct	UK Biobank Assessment Centre > Cognitive function > Prospective memory	Primary	Unisex	29	abandon	CAT_SINGLE	CAT_SINGLE_UNORDERED	112582	125	112457
4924	4924	Attempted fluid intelligence (FI) test.	UK Biobank Assessment Centre > Cognitive function > Fluid intelligence	Primary	Unisex	100642	NA	CAT_SINGLE	CAT_SINGLE_BINARY	111666	NA	NA
4935	4935	FI1 : numeric addition test	UK Biobank Assessment Centre > Cognitive function > Fluid intelligence	Primary	Unisex	100643	NA	CAT_SINGLE	CAT_SINGLE_BINARY	109919	NA	NA
4946	4946	FI2 : identify largest number	UK Biobank Assessment Centre > Cognitive function > Fluid intelligence	Primary	Unisex	100644	NA	CAT_SINGLE	CAT_SINGLE_BINARY	110042	NA	NA
4957	4957	FI3 : word interpolation	UK Biobank Assessment Centre > Cognitive function > Fluid intelligence	Primary	Unisex	100645	NA	CAT_SINGLE	CAT_SINGLE_BINARY	110002	NA	NA
4968	4968	FI4 : positional arithmetic	UK Biobank Assessment Centre > Cognitive function > Fluid intelligence	Primary	Unisex	100646	NA	CAT_SINGLE	CAT_SINGLE_BINARY	108957	NA	NA
4979	4979	FI5 : family relationship calculation	UK Biobank Assessment Centre > Cognitive function > Fluid intelligence	Primary	Unisex	100647	NA	CAT_SINGLE	CAT_SINGLE_BINARY	106854	NA	NA
4990	4990	FI6 : conditional arithmetic	UK Biobank Assessment Centre > Cognitive function > Fluid intelligence	Primary	Unisex	100648	NA	CAT_SINGLE	CAT_SINGLE_BINARY	96441	NA	NA
5001	5001	FI7 : synonym	UK Biobank Assessment Centre > Cognitive function > Fluid intelligence	Primary	Unisex	100649	NA	CAT_SINGLE	CAT_SINGLE_BINARY	80057	NA	NA
5012	5012	FI8 : chained arithmetic	UK Biobank Assessment Centre > Cognitive function > Fluid intelligence	Primary	Unisex	100650	NA	CAT_SINGLE	CAT_SINGLE_BINARY	71783	NA	NA
5556	5556	FI9 : concept interpolation	UK Biobank Assessment Centre > Cognitive function > Fluid intelligence	Primary	Unisex	100651	NA	CAT_SINGLE	CAT_SINGLE_BINARY	33471	NA	NA
5699	5699	FI10 : arithmetic sequence recognition	UK Biobank Assessment Centre > Cognitive function > Fluid intelligence	Primary	Unisex	100652	NA	CAT_SINGLE	CAT_SINGLE_BINARY	19948	NA	NA
5779	5779	FI11 : antonym	UK Biobank Assessment Centre > Cognitive function > Fluid intelligence	Primary	Unisex	100653	NA	CAT_SINGLE	CAT_SINGLE_BINARY	11859	NA	NA
5790	5790	FI12 : square sequence recognition	UK Biobank Assessment Centre > Cognitive function > Fluid intelligence	Primary	Unisex	100654	NA	CAT_SINGLE	CAT_SINGLE_BINARY	8070	NA	NA
5866	5866	FI13 : subset inclusion logic	UK Biobank Assessment Centre > Cognitive function > Fluid intelligence	Primary	Unisex	100655	NA	CAT_SINGLE	CAT_SINGLE_BINARY	2795	NA	NA
5959	5959	Previously smoked cigarettes on most/all days	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking	Primary	Unisex	100352	NA	CAT_SINGLE	CAT_SINGLE_BINARY	1899	NA	NA
6142_2	6142	Current employment status	UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Employment	Primary	Unisex	100295	Retired	CAT_MULTIPLE	CAT_MUL_BINARY_VAR	340028	126978	213050
6142_1	6142	Current employment status	UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Employment	Primary	Unisex	100295	In paid employment or self-employed	CAT_MULTIPLE	CAT_MUL_BINARY_VAR	340028	193011	147017
6142_3	6142	Current employment status	UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Employment	Primary	Unisex	100295	Looking after home and/or family	CAT_MULTIPLE	CAT_MUL_BINARY_VAR	340028	16773	323255
6142_4	6142	Current employment status	UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Employment	Primary	Unisex	100295	Unable to work because of sickness or disability	CAT_MULTIPLE	CAT_MUL_BINARY_VAR	340028	12785	327243
6142_5	6142	Current employment status	UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Employment	Primary	Unisex	100295	Unemployed	CAT_MULTIPLE	CAT_MUL_BINARY_VAR	340028	5289	334739
6142_7	6142	Current employment status	UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Employment	Primary	Unisex	100295	Full or part-time student	CAT_MULTIPLE	CAT_MUL_BINARY_VAR	340028	2527	337501
6142_6	6142	Current employment status	UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Employment	Primary	Unisex	100295	Doing unpaid or voluntary work	CAT_MULTIPLE	CAT_MUL_BINARY_VAR	340028	12598	327430
6142_100	6142	Current employment status	UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Employment	Primary	Unisex	100295	None of the above	CAT_MULTIPLE	CAT_MUL_BINARY_VAR	340028	1612	338416
6143_1	6143	Transport type for commuting to job workplace	UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Employment	Primary	Unisex	100299	Car/motor vehicle	CAT_MULTIPLE	CAT_MUL_BINARY_VAR	179797	144677	35120
6143_3	6143	Transport type for commuting to job workplace	UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Employment	Primary	Unisex	100299	Public transport	CAT_MULTIPLE	CAT_MUL_BINARY_VAR	179797	36514	143283
6143_2	6143	Transport type for commuting to job workplace	UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Employment	Primary	Unisex	100299	Walk	CAT_MULTIPLE	CAT_MUL_BINARY_VAR	179797	28243	151554
6143_4	6143	Transport type for commuting to job workplace	UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Employment	Primary	Unisex	100299	Cycle	CAT_MULTIPLE	CAT_MUL_BINARY_VAR	179797	13763	166034
6143_100	6143	Transport type for commuting to job workplace	UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Employment	Primary	Unisex	100299	None of the above	CAT_MULTIPLE	CAT_MUL_BINARY_VAR	179797	736	179061
6157_3	6157	Why stopped smoking	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking	Primary	Unisex	100361	Health precaution	CAT_MULTIPLE	CAT_MUL_BINARY_VAR	83514	52475	31039
6157_100	6157	Why stopped smoking	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking	Primary	Unisex	100361	None of the above	CAT_MULTIPLE	CAT_MUL_BINARY_VAR	83514	16644	66870
6157_1	6157	Why stopped smoking	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking	Primary	Unisex	100361	Illness or ill health	CAT_MULTIPLE	CAT_MUL_BINARY_VAR	83514	10073	73441
6157_4	6157	Why stopped smoking	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking	Primary	Unisex	100361	Financial reasons	CAT_MULTIPLE	CAT_MUL_BINARY_VAR	83514	20796	62718
6157_2	6157	Why stopped smoking	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking	Primary	Unisex	100361	Doctor's advice	CAT_MULTIPLE	CAT_MUL_BINARY_VAR	83514	6028	77486
6158_3	6158	Why reduced smoking	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking	Primary	Unisex	100361	Health precaution	CAT_MULTIPLE	CAT_MUL_BINARY_VAR	10706	5075	5631
6158_4	6158	Why reduced smoking	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking	Primary	Unisex	100361	Financial reasons	CAT_MULTIPLE	CAT_MUL_BINARY_VAR	10706	2917	7789
6158_2	6158	Why reduced smoking	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking	Primary	Unisex	100361	Doctor's advice	CAT_MULTIPLE	CAT_MUL_BINARY_VAR	10706	1510	9196
6158_100	6158	Why reduced smoking	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking	Primary	Unisex	100361	None of the above	CAT_MULTIPLE	CAT_MUL_BINARY_VAR	10706	3085	7621
6158_1	6158	Why reduced smoking	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking	Primary	Unisex	100361	Illness or ill health	CAT_MULTIPLE	CAT_MUL_BINARY_VAR	10706	1484	9222
6160_3	6160	Leisure/social activities	UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Social support	Primary	Unisex	100328	Religious group	CAT_MULTIPLE	CAT_MUL_BINARY_VAR	340103	47971	292132
6160_5	6160	Leisure/social activities	UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Social support	Primary	Unisex	100328	Other group activity	CAT_MULTIPLE	CAT_MUL_BINARY_VAR	340103	76116	263987
6160_100	6160	Leisure/social activities	UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Social support	Primary	Unisex	100328	None of the above	CAT_MULTIPLE	CAT_MUL_BINARY_VAR	340103	103419	236684
6160_1	6160	Leisure/social activities	UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Social support	Primary	Unisex	100328	Sports club or gym	CAT_MULTIPLE	CAT_MUL_BINARY_VAR	340103	102174	237929
6160_2	6160	Leisure/social activities	UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Social support	Primary	Unisex	100328	Pub or social club	CAT_MULTIPLE	CAT_MUL_BINARY_VAR	340103	93351	246752
6160_4	6160	Leisure/social activities	UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Social support	Primary	Unisex	100328	Adult education class	CAT_MULTIPLE	CAT_MUL_BINARY_VAR	340103	24201	315902
12651	12651	Duration of eprime test	UK Biobank Assessment Centre > Imaging > Brain MRI > Task functional brain MRI	Primary	Unisex	NA	NA	INTEGER	CONTINUOUS	14353	NA	NA
20016	20016	Fluid intelligence score	UK Biobank Assessment Centre > Cognitive function > Fluid intelligence	Derived	Unisex	NA	NA	INTEGER	CONTINUOUS	110294	NA	NA
20018	20018	Prospective memory result	UK Biobank Assessment Centre > Cognitive function > Prospective memory	Derived	Unisex	18	NA	CAT_SINGLE	CAT_ORD	112582	NA	NA
20022	20022	Birth weight	UK Biobank Assessment Centre > Verbal interview > Early life factors	Derived	Unisex	NA	NA	CONTINUOUS_MAIN	CONTINUOUS	195155	NA	NA
20023	20023	Mean time to correctly identify matches	UK Biobank Assessment Centre > Cognitive function > Reaction time	Derived	Unisex	NA	NA	INTEGER	CONTINUOUS	338905	NA	NA
20116_0	20116	Smoking status	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking	Derived	Unisex	90	Never	CAT_SINGLE	CAT_SINGLE_UNORDERED	339783	185493	154290
20116_1	20116	Smoking status	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking	Derived	Unisex	90	Previous	CAT_SINGLE	CAT_SINGLE_UNORDERED	339783	119531	220252
20116_2	20116	Smoking status	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking	Derived	Unisex	90	Current	CAT_SINGLE	CAT_SINGLE_UNORDERED	339783	34759	305024
20128	20128	Number of fluid intelligence questions attempted within time limit	UK Biobank Assessment Centre > Cognitive function > Fluid intelligence	Derived	Unisex	NA	NA	INTEGER	CAT_ORD	110294	NA	NA
20131	20131	Number of correct matches in round	Online follow-up > Cognitive function online > Pairs matching	Primary	Unisex	NA	NA	INTEGER	CAT_ORD	84014	NA	NA
20132	20132	Number of incorrect matches in round	Online follow-up > Cognitive function online > Pairs matching	Primary	Unisex	NA	NA	INTEGER	CONTINUOUS	84024	NA	NA
20133	20133	Time to complete round	Online follow-up > Cognitive function online > Pairs matching	Primary	Unisex	485	NA	INTEGER	CONTINUOUS	81931	NA	NA
20147	20147	Errors before selecting correct item in numeric path (trail #1)	Online follow-up > Cognitive function online > Trail making	Primary	Unisex	NA	NA	INTEGER	CAT_ORD	18610	NA	NA
20148	20148	Errors before selecting correct item in alphanumeric path (trail #2)	Online follow-up > Cognitive function online > Trail making	Primary	Unisex	NA	NA	INTEGER	CAT_ORD	29932	NA	NA
