pheno_id	FieldID	Field	Path	Strata	Sexed	Coding	Coding_meaning	original_type	transformed_type	nsamples	nsamples_T	nsamples_F	pheno_type	nsamples_CAD_SOFT_0	nsamples_CAD_SOFT_1	nsamples_CAD_SOFT_0_T	nsamples_CAD_SOFT_1_T	keep
40001_C170	40001	Underlying (primary) cause of death: ICD10	Health-related outcomes > Death register	Primary	Unisex	19	C17.0 Duodenum	CAT_SINGLE	CAT_SINGLE_UNORDERED	8547	11	8536	NA	NA	NA	NA	NA	FALSE
40001_C180	40001	Underlying (primary) cause of death: ICD10	Health-related outcomes > Death register	Primary	Unisex	19	C18.0 Caecum	CAT_SINGLE	CAT_SINGLE_UNORDERED	8547	45	8502	NA	NA	NA	NA	NA	FALSE
40001_C187	40001	Underlying (primary) cause of death: ICD10	Health-related outcomes > Death register	Primary	Unisex	19	C18.7 Sigmoid colon	CAT_SINGLE	CAT_SINGLE_UNORDERED	8547	46	8501	NA	NA	NA	NA	NA	FALSE
40001_C189	40001	Underlying (primary) cause of death: ICD10	Health-related outcomes > Death register	Primary	Unisex	19	C18.9 Colon, unspecified	CAT_SINGLE	CAT_SINGLE_UNORDERED	8547	241	8306	NA	NA	NA	NA	NA	FALSE
40001_C19	40001	Underlying (primary) cause of death: ICD10	Health-related outcomes > Death register	Primary	Unisex	19	C19 Malignant neoplasm of rectosigmoid junction	CAT_SINGLE	CAT_SINGLE_UNORDERED	8547	106	8441	NA	NA	NA	NA	NA	FALSE
40001_C20	40001	Underlying (primary) cause of death: ICD10	Health-related outcomes > Death register	Primary	Unisex	19	C20 Malignant neoplasm of rectum	CAT_SINGLE	CAT_SINGLE_UNORDERED	8547	115	8432	NA	NA	NA	NA	NA	FALSE
40001_C210	40001	Underlying (primary) cause of death: ICD10	Health-related outcomes > Death register	Primary	Unisex	19	C21.0 Anus, unspecified	CAT_SINGLE	CAT_SINGLE_UNORDERED	8547	15	8532	NA	NA	NA	NA	NA	FALSE
40001_C220	40001	Underlying (primary) cause of death: ICD10	Health-related outcomes > Death register	Primary	Unisex	19	C22.0 Liver cell carcinoma	CAT_SINGLE	CAT_SINGLE_UNORDERED	8547	65	8482	NA	NA	NA	NA	NA	FALSE
40001_C221	40001	Underlying (primary) cause of death: ICD10	Health-related outcomes > Death register	Primary	Unisex	19	C22.1 Intrahepatic bile duct carcinoma	CAT_SINGLE	CAT_SINGLE_UNORDERED	8547	119	8428	NA	NA	NA	NA	NA	FALSE
40001_C23	40001	Underlying (primary) cause of death: ICD10	Health-related outcomes > Death register	Primary	Unisex	19	C23 Malignant neoplasm of gallbladder	CAT_SINGLE	CAT_SINGLE_UNORDERED	8547	24	8523	NA	NA	NA	NA	NA	FALSE
40001_C259	40001	Underlying (primary) cause of death: ICD10	Health-related outcomes > Death register	Primary	Unisex	19	C25.9 Pancreas, unspecified	CAT_SINGLE	CAT_SINGLE_UNORDERED	8547	386	8161	NA	NA	NA	NA	NA	FALSE
40001_C260	40001	Underlying (primary) cause of death: ICD10	Health-related outcomes > Death register	Primary	Unisex	19	C26.0 Intestinal tract, part unspecified	CAT_SINGLE	CAT_SINGLE_UNORDERED	8547	76	8471	NA	NA	NA	NA	NA	FALSE
40001_C269	40001	Underlying (primary) cause of death: ICD10	Health-related outcomes > Death register	Primary	Unisex	19	C26.9 Ill-defined sites within the digestive system	CAT_SINGLE	CAT_SINGLE_UNORDERED	8547	15	8532	NA	NA	NA	NA	NA	FALSE
40001_C329	40001	Underlying (primary) cause of death: ICD10	Health-related outcomes > Death register	Primary	Unisex	19	C32.9 Larynx, unspecified	CAT_SINGLE	CAT_SINGLE_UNORDERED	8547	15	8532	NA	NA	NA	NA	NA	FALSE
40001_C439	40001	Underlying (primary) cause of death: ICD10	Health-related outcomes > Death register	Primary	Unisex	19	C43.9 Malignant melanoma of skin, unspecified	CAT_SINGLE	CAT_SINGLE_UNORDERED	8547	117	8430	NA	NA	NA	NA	NA	FALSE
40001_C450	40001	Underlying (primary) cause of death: ICD10	Health-related outcomes > Death register	Primary	Unisex	19	C45.0 Mesothelioma of pleura	CAT_SINGLE	CAT_SINGLE_UNORDERED	8547	27	8520	NA	NA	NA	NA	NA	FALSE
40001_C459	40001	Underlying (primary) cause of death: ICD10	Health-related outcomes > Death register	Primary	Unisex	19	C45.9 Mesothelioma, unspecified	CAT_SINGLE	CAT_SINGLE_UNORDERED	8547	100	8447	NA	NA	NA	NA	NA	FALSE
40001_C482	40001	Underlying (primary) cause of death: ICD10	Health-related outcomes > Death register	Primary	Unisex	19	C48.2 Peritoneum, unspecified	CAT_SINGLE	CAT_SINGLE_UNORDERED	8547	25	8522	NA	NA	NA	NA	NA	FALSE
40001_C499	40001	Underlying (primary) cause of death: ICD10	Health-related outcomes > Death register	Primary	Unisex	19	C49.9 Connective and soft tissue, unspecified	CAT_SINGLE	CAT_SINGLE_UNORDERED	8547	29	8518	NA	NA	NA	NA	NA	FALSE
40001_C509	40001	Underlying (primary) cause of death: ICD10	Health-related outcomes > Death register	Primary	Unisex	19	C50.9 Breast, unspecified	CAT_SINGLE	CAT_SINGLE_UNORDERED	8547	483	8064	NA	NA	NA	NA	NA	FALSE
40001_C539	40001	Underlying (primary) cause of death: ICD10	Health-related outcomes > Death register	Primary	Unisex	19	C53.9 Cervix uteri, unspecified	CAT_SINGLE	CAT_SINGLE_UNORDERED	8547	10	8537	NA	NA	NA	NA	NA	FALSE
40001_C541	40001	Underlying (primary) cause of death: ICD10	Health-related outcomes > Death register	Primary	Unisex	19	C54.1 Endometrium	CAT_SINGLE	CAT_SINGLE_UNORDERED	8547	51	8496	NA	NA	NA	NA	NA	FALSE
40001_C55	40001	Underlying (primary) cause of death: ICD10	Health-related outcomes > Death register	Primary	Unisex	19	C55 Malignant neoplasm of uterus, part unspecified	CAT_SINGLE	CAT_SINGLE_UNORDERED	8547	26	8521	NA	NA	NA	NA	NA	FALSE
40001_C56	40001	Underlying (primary) cause of death: ICD10	Health-related outcomes > Death register	Primary	Unisex	19	C56 Malignant neoplasm of ovary	CAT_SINGLE	CAT_SINGLE_UNORDERED	8547	209	8338	NA	NA	NA	NA	NA	FALSE
40001_C61	40001	Underlying (primary) cause of death: ICD10	Health-related outcomes > Death register	Primary	Unisex	19	C61 Malignant neoplasm of prostate	CAT_SINGLE	CAT_SINGLE_UNORDERED	8547	312	8235	NA	NA	NA	NA	NA	FALSE
40001_C64	40001	Underlying (primary) cause of death: ICD10	Health-related outcomes > Death register	Primary	Unisex	19	C64 Malignant neoplasm of kidney, except renal pelvis	CAT_SINGLE	CAT_SINGLE_UNORDERED	8547	176	8371	NA	NA	NA	NA	NA	FALSE
40001_C679	40001	Underlying (primary) cause of death: ICD10	Health-related outcomes > Death register	Primary	Unisex	19	C67.9 Bladder, unspecified	CAT_SINGLE	CAT_SINGLE_UNORDERED	8547	109	8438	NA	NA	NA	NA	NA	FALSE
40001_C719	40001	Underlying (primary) cause of death: ICD10	Health-related outcomes > Death register	Primary	Unisex	19	C71.9 Brain, unspecified	CAT_SINGLE	CAT_SINGLE_UNORDERED	8547	256	8291	NA	NA	NA	NA	NA	FALSE
40001_C786	40001	Underlying (primary) cause of death: ICD10	Health-related outcomes > Death register	Primary	Unisex	19	C78.6 Secondary malignant neoplasm of retroperitoneum and peritoneum	CAT_SINGLE	CAT_SINGLE_UNORDERED	8547	10	8537	NA	NA	NA	NA	NA	FALSE
40001_C80	40001	Underlying (primary) cause of death: ICD10	Health-related outcomes > Death register	Primary	Unisex	19	C80 Malignant neoplasm without specification of site	CAT_SINGLE	CAT_SINGLE_UNORDERED	8547	166	8381	NA	NA	NA	NA	NA	FALSE
40001_C800	40001	Underlying (primary) cause of death: ICD10	Health-related outcomes > Death register	Primary	Unisex	19	C80.0 Malignant neoplasm, primary site unknown, so stated	CAT_SINGLE	CAT_SINGLE_UNORDERED	8547	55	8492	NA	NA	NA	NA	NA	FALSE
40001_C809	40001	Underlying (primary) cause of death: ICD10	Health-related outcomes > Death register	Primary	Unisex	19	C80.9 Malignant neoplasm, unspecified	CAT_SINGLE	CAT_SINGLE_UNORDERED	8547	28	8519	NA	NA	NA	NA	NA	FALSE
40001_C819	40001	Underlying (primary) cause of death: ICD10	Health-related outcomes > Death register	Primary	Unisex	19	C81.9 Hodgkin's disease, unspecified	CAT_SINGLE	CAT_SINGLE_UNORDERED	8547	10	8537	NA	NA	NA	NA	NA	FALSE
40001_C829	40001	Underlying (primary) cause of death: ICD10	Health-related outcomes > Death register	Primary	Unisex	19	C82.9 Follicular non-Hodgkin's lymphoma, unspecified	CAT_SINGLE	CAT_SINGLE_UNORDERED	8547	14	8533	NA	NA	NA	NA	NA	FALSE
40001_C833	40001	Underlying (primary) cause of death: ICD10	Health-related outcomes > Death register	Primary	Unisex	19	C83.3 Large cell (diffuse)	CAT_SINGLE	CAT_SINGLE_UNORDERED	8547	39	8508	NA	NA	NA	NA	NA	FALSE
40001_C844	40001	Underlying (primary) cause of death: ICD10	Health-related outcomes > Death register	Primary	Unisex	19	C84.4 Peripheral T-cell lymphoma	CAT_SINGLE	CAT_SINGLE_UNORDERED	8547	12	8535	NA	NA	NA	NA	NA	FALSE
40001_C851	40001	Underlying (primary) cause of death: ICD10	Health-related outcomes > Death register	Primary	Unisex	19	C85.1 B-cell lymphoma, unspecified	CAT_SINGLE	CAT_SINGLE_UNORDERED	8547	38	8509	NA	NA	NA	NA	NA	FALSE
40001_C859	40001	Underlying (primary) cause of death: ICD10	Health-related outcomes > Death register	Primary	Unisex	19	C85.9 Non-Hodgkin's lymphoma, unspecified type	CAT_SINGLE	CAT_SINGLE_UNORDERED	8547	78	8469	NA	NA	NA	NA	NA	FALSE
40001_C900	40001	Underlying (primary) cause of death: ICD10	Health-related outcomes > Death register	Primary	Unisex	19	C90.0 Multiple myeloma	CAT_SINGLE	CAT_SINGLE_UNORDERED	8547	98	8449	NA	NA	NA	NA	NA	FALSE
40001_C910	40001	Underlying (primary) cause of death: ICD10	Health-related outcomes > Death register	Primary	Unisex	19	C91.0 Acute lymphoblastic leukaemia	CAT_SINGLE	CAT_SINGLE_UNORDERED	8547	10	8537	NA	NA	NA	NA	NA	FALSE
40001_C911	40001	Underlying (primary) cause of death: ICD10	Health-related outcomes > Death register	Primary	Unisex	19	C91.1 Chronic lymphocytic leukaemia	CAT_SINGLE	CAT_SINGLE_UNORDERED	8547	43	8504	NA	NA	NA	NA	NA	FALSE
40001_C920	40001	Underlying (primary) cause of death: ICD10	Health-related outcomes > Death register	Primary	Unisex	19	C92.0 Acute myeloid leukaemia	CAT_SINGLE	CAT_SINGLE_UNORDERED	8547	113	8434	NA	NA	NA	NA	NA	FALSE
40001_C97	40001	Underlying (primary) cause of death: ICD10	Health-related outcomes > Death register	Primary	Unisex	19	C97 Malignant neoplasms of independent (primary) multiple sites	CAT_SINGLE	CAT_SINGLE_UNORDERED	8547	19	8528	NA	NA	NA	NA	NA	FALSE
40001_D432	40001	Underlying (primary) cause of death: ICD10	Health-related outcomes > Death register	Primary	Unisex	19	D43.2 Brain, unspecified	CAT_SINGLE	CAT_SINGLE_UNORDERED	8547	10	8537	NA	NA	NA	NA	NA	FALSE
40001_D469	40001	Underlying (primary) cause of death: ICD10	Health-related outcomes > Death register	Primary	Unisex	19	D46.9 Myelodysplastic syndrome, unspecified	CAT_SINGLE	CAT_SINGLE_UNORDERED	8547	15	8532	NA	NA	NA	NA	NA	FALSE
40001_F019	40001	Underlying (primary) cause of death: ICD10	Health-related outcomes > Death register	Primary	Unisex	19	F01.9 Vascular dementia, unspecified	CAT_SINGLE	CAT_SINGLE_UNORDERED	8547	18	8529	NA	NA	NA	NA	NA	FALSE
40001_F03	40001	Underlying (primary) cause of death: ICD10	Health-related outcomes > Death register	Primary	Unisex	19	F03 Unspecified dementia	CAT_SINGLE	CAT_SINGLE_UNORDERED	8547	48	8499	NA	NA	NA	NA	NA	FALSE
40001_F102	40001	Underlying (primary) cause of death: ICD10	Health-related outcomes > Death register	Primary	Unisex	19	F10.2 Dependence syndrome	CAT_SINGLE	CAT_SINGLE_UNORDERED	8547	10	8537	NA	NA	NA	NA	NA	FALSE
40001_G122	40001	Underlying (primary) cause of death: ICD10	Health-related outcomes > Death register	Primary	Unisex	19	G12.2 Motor neuron disease	CAT_SINGLE	CAT_SINGLE_UNORDERED	8547	116	8431	NA	NA	NA	NA	NA	FALSE
40001_G20	40001	Underlying (primary) cause of death: ICD10	Health-related outcomes > Death register	Primary	Unisex	19	G20 Parkinson's disease	CAT_SINGLE	CAT_SINGLE_UNORDERED	8547	28	8519	NA	NA	NA	NA	NA	FALSE
40001_G309	40001	Underlying (primary) cause of death: ICD10	Health-related outcomes > Death register	Primary	Unisex	19	G30.9 Alzheimer's disease, unspecified	CAT_SINGLE	CAT_SINGLE_UNORDERED	8547	37	8510	NA	NA	NA	NA	NA	FALSE
40001_G318	40001	Underlying (primary) cause of death: ICD10	Health-related outcomes > Death register	Primary	Unisex	19	G31.8 Other specified degenerative diseases of nervous system	CAT_SINGLE	CAT_SINGLE_UNORDERED	8547	26	8521	NA	NA	NA	NA	NA	FALSE
40001_G35	40001	Underlying (primary) cause of death: ICD10	Health-related outcomes > Death register	Primary	Unisex	19	G35 Multiple sclerosis	CAT_SINGLE	CAT_SINGLE_UNORDERED	8547	30	8517	NA	NA	NA	NA	NA	FALSE
40001_G409	40001	Underlying (primary) cause of death: ICD10	Health-related outcomes > Death register	Primary	Unisex	19	G40.9 Epilepsy, unspecified	CAT_SINGLE	CAT_SINGLE_UNORDERED	8547	15	8532	NA	NA	NA	NA	NA	FALSE
40001_G903	40001	Underlying (primary) cause of death: ICD10	Health-related outcomes > Death register	Primary	Unisex	19	G90.3 Multisystem degeneration	CAT_SINGLE	CAT_SINGLE_UNORDERED	8547	12	8535	NA	NA	NA	NA	NA	FALSE
40001_I110	40001	Underlying (primary) cause of death: ICD10	Health-related outcomes > Death register	Primary	Unisex	19	I11.0 Hypertensive heart disease with (congestive) heart failure	CAT_SINGLE	CAT_SINGLE_UNORDERED	8547	27	8520	NA	NA	NA	NA	NA	FALSE
40001_I119	40001	Underlying (primary) cause of death: ICD10	Health-related outcomes > Death register	Primary	Unisex	19	I11.9 Hypertensive heart disease without (congestive) heart failure	CAT_SINGLE	CAT_SINGLE_UNORDERED	8547	31	8516	NA	NA	NA	NA	NA	FALSE
40001_I219	40001	Underlying (primary) cause of death: ICD10	Health-related outcomes > Death register	Primary	Unisex	19	I21.9 Acute myocardial infarction, unspecified	CAT_SINGLE	CAT_SINGLE_UNORDERED	8547	450	8097	NA	NA	NA	NA	NA	FALSE
40001_I251	40001	Underlying (primary) cause of death: ICD10	Health-related outcomes > Death register	Primary	Unisex	19	I25.1 Atherosclerotic heart disease	CAT_SINGLE	CAT_SINGLE_UNORDERED	8547	345	8202	NA	NA	NA	NA	NA	FALSE
40001_I259	40001	Underlying (primary) cause of death: ICD10	Health-related outcomes > Death register	Primary	Unisex	19	I25.9 Chronic ischaemic heart disease, unspecified	CAT_SINGLE	CAT_SINGLE_UNORDERED	8547	294	8253	NA	NA	NA	NA	NA	FALSE
40001_I269	40001	Underlying (primary) cause of death: ICD10	Health-related outcomes > Death register	Primary	Unisex	19	I26.9 Pulmonary embolism without mention of acute cor pulmonale	CAT_SINGLE	CAT_SINGLE_UNORDERED	8547	40	8507	NA	NA	NA	NA	NA	FALSE
40001_I350	40001	Underlying (primary) cause of death: ICD10	Health-related outcomes > Death register	Primary	Unisex	19	I35.0 Aortic (valve) stenosis	CAT_SINGLE	CAT_SINGLE_UNORDERED	8547	23	8524	NA	NA	NA	NA	NA	FALSE
40001_I359	40001	Underlying (primary) cause of death: ICD10	Health-related outcomes > Death register	Primary	Unisex	19	I35.9 Aortic valve disorder, unspecified	CAT_SINGLE	CAT_SINGLE_UNORDERED	8547	12	8535	NA	NA	NA	NA	NA	FALSE
40001_I420	40001	Underlying (primary) cause of death: ICD10	Health-related outcomes > Death register	Primary	Unisex	19	I42.0 Dilated cardiomyopathy	CAT_SINGLE	CAT_SINGLE_UNORDERED	8547	25	8522	NA	NA	NA	NA	NA	FALSE
40001_I429	40001	Underlying (primary) cause of death: ICD10	Health-related outcomes > Death register	Primary	Unisex	19	I42.9 Cardiomyopathy, unspecified	CAT_SINGLE	CAT_SINGLE_UNORDERED	8547	22	8525	NA	NA	NA	NA	NA	FALSE
40001_I48	40001	Underlying (primary) cause of death: ICD10	Health-related outcomes > Death register	Primary	Unisex	19	I48 Atrial fibrillation and flutter	CAT_SINGLE	CAT_SINGLE_UNORDERED	8547	17	8530	NA	NA	NA	NA	NA	FALSE
40001_I500	40001	Underlying (primary) cause of death: ICD10	Health-related outcomes > Death register	Primary	Unisex	19	I50.0 Congestive heart failure	CAT_SINGLE	CAT_SINGLE_UNORDERED	8547	12	8535	NA	NA	NA	NA	NA	FALSE
40001_I509	40001	Underlying (primary) cause of death: ICD10	Health-related outcomes > Death register	Primary	Unisex	19	I50.9 Heart failure, unspecified	CAT_SINGLE	CAT_SINGLE_UNORDERED	8547	11	8536	NA	NA	NA	NA	NA	FALSE
40001_I517	40001	Underlying (primary) cause of death: ICD10	Health-related outcomes > Death register	Primary	Unisex	19	I51.7 Cardiomegaly	CAT_SINGLE	CAT_SINGLE_UNORDERED	8547	18	8529	NA	NA	NA	NA	NA	FALSE
40001_I609	40001	Underlying (primary) cause of death: ICD10	Health-related outcomes > Death register	Primary	Unisex	19	I60.9 Subarachnoid haemorrhage, unspecified	CAT_SINGLE	CAT_SINGLE_UNORDERED	8547	73	8474	NA	NA	NA	NA	NA	FALSE
40001_I619	40001	Underlying (primary) cause of death: ICD10	Health-related outcomes > Death register	Primary	Unisex	19	I61.9 Intracerebral haemorrhage, unspecified	CAT_SINGLE	CAT_SINGLE_UNORDERED	8547	68	8479	NA	NA	NA	NA	NA	FALSE
40001_I629	40001	Underlying (primary) cause of death: ICD10	Health-related outcomes > Death register	Primary	Unisex	19	I62.9 Intracranial haemorrhage (nontraumatic), unspecified	CAT_SINGLE	CAT_SINGLE_UNORDERED	8547	21	8526	NA	NA	NA	NA	NA	FALSE
40001_I639	40001	Underlying (primary) cause of death: ICD10	Health-related outcomes > Death register	Primary	Unisex	19	I63.9 Cerebral infarction, unspecified	CAT_SINGLE	CAT_SINGLE_UNORDERED	8547	35	8512	NA	NA	NA	NA	NA	FALSE
40001_I64	40001	Underlying (primary) cause of death: ICD10	Health-related outcomes > Death register	Primary	Unisex	19	I64 Stroke, not specified as haemorrhage or infarction	CAT_SINGLE	CAT_SINGLE_UNORDERED	8547	100	8447	NA	NA	NA	NA	NA	FALSE
40001_I679	40001	Underlying (primary) cause of death: ICD10	Health-related outcomes > Death register	Primary	Unisex	19	I67.9 Cerebrovascular disease, unspecified	CAT_SINGLE	CAT_SINGLE_UNORDERED	8547	13	8534	NA	NA	NA	NA	NA	FALSE
40001_I710	40001	Underlying (primary) cause of death: ICD10	Health-related outcomes > Death register	Primary	Unisex	19	I71.0 Dissection of aorta [any part]	CAT_SINGLE	CAT_SINGLE_UNORDERED	8547	43	8504	NA	NA	NA	NA	NA	FALSE
40001_I713	40001	Underlying (primary) cause of death: ICD10	Health-related outcomes > Death register	Primary	Unisex	19	I71.3 Abdominal aortic aneurysm, ruptured	CAT_SINGLE	CAT_SINGLE_UNORDERED	8547	44	8503	NA	NA	NA	NA	NA	FALSE
40001_I802	40001	Underlying (primary) cause of death: ICD10	Health-related outcomes > Death register	Primary	Unisex	19	I80.2 Phlebitis and thrombophlebitis of other deep vessels of lower extremities	CAT_SINGLE	CAT_SINGLE_UNORDERED	8547	68	8479	NA	NA	NA	NA	NA	FALSE
40001_J180	40001	Underlying (primary) cause of death: ICD10	Health-related outcomes > Death register	Primary	Unisex	19	J18.0 Bronchopneumonia, unspecified	CAT_SINGLE	CAT_SINGLE_UNORDERED	8547	35	8512	NA	NA	NA	NA	NA	FALSE
40001_J181	40001	Underlying (primary) cause of death: ICD10	Health-related outcomes > Death register	Primary	Unisex	19	J18.1 Lobar pneumonia, unspecified	CAT_SINGLE	CAT_SINGLE_UNORDERED	8547	11	8536	NA	NA	NA	NA	NA	FALSE
40001_J189	40001	Underlying (primary) cause of death: ICD10	Health-related outcomes > Death register	Primary	Unisex	19	J18.9 Pneumonia, unspecified	CAT_SINGLE	CAT_SINGLE_UNORDERED	8547	79	8468	NA	NA	NA	NA	NA	FALSE
40001_J439	40001	Underlying (primary) cause of death: ICD10	Health-related outcomes > Death register	Primary	Unisex	19	J43.9 Emphysema, unspecified	CAT_SINGLE	CAT_SINGLE_UNORDERED	8547	11	8536	NA	NA	NA	NA	NA	FALSE
